SPCruzália;351330;3513306;SP;Cruzália;Região Sudeste;2274;Pequeno I;;
SPCruzeiro;351340;3513405;SP;Cruzeiro;Região Sudeste;77039;Médio;;
SPCubatão;351350;3513504;SP;Cubatão;Região Sudeste;118720;Grande;;
SPCunha;351360;3513603;SP;Cunha;Região Sudeste;21866;Pequeno II;;
SPDescalvado;351370;3513702;SP;Descalvado;Região Sudeste;31056;Pequeno II;;
SPDiadema;351380;3513801;SP;Diadema;Região Sudeste;386089;Grande;;
SPDirce Reis;351385;3513850;SP;Dirce Reis;Região Sudeste;1689;Pequeno I;;
SPDivinolândia;351390;3513900;SP;Divinolândia;Região Sudeste;11208;Pequeno I;;
SPDobrada;351400;3514007;SP;Dobrada;Região Sudeste;7939;Pequeno I;;
SPDois Córregos;351410;3514106;SP;Dois Córregos;Região Sudeste;24761;Pequeno II;;
SPDolcinópolis;351420;3514205;SP;Dolcinópolis;Região Sudeste;2096;Pequeno I;;
SPDourado;351430;3514304;SP;Dourado;Região Sudeste;8609;Pequeno I;;
SPDracena;351440;3514403;SP;Dracena;Região Sudeste;43258;Pequeno II;;
SPDuartina;351450;3514502;SP;Duartina;Região Sudeste;12251;Pequeno I;;
SPDumont;351460;3514601;SP;Dumont;Região Sudeste;8143;Pequeno I;;
SPEchaporã;351470;3514700;SP;Echaporã;Região Sudeste;6318;Pequeno I;;
SPEldorado;351480;3514809;SP;Eldorado;Região Sudeste;14641;Pequeno I;;
SPElias Fausto;351490;3514908;SP;Elias Fausto;Região Sudeste;15775;Pequeno I;;
SPElisiário;351492;3514924;SP;Elisiário;Região Sudeste;3120;Pequeno I;;
SPEmbaúba;351495;3514957;SP;Embaúba;Região Sudeste;2423;Pequeno I;;
SPEmbu;351500;3515004;SP;Embu;Região Sudeste;240230;Grande;;
SPEmbu-guaçu;351510;3515103;SP;Embu-guaçu;Região Sudeste;62769;Médio;;
SPEmilianópolis;351512;3515129;SP;Emilianópolis;Região Sudeste;3020;Pequeno I;;
SPEngenheiro Coelho;351515;3515152;SP;Engenheiro Coelho;Região Sudeste;15721;Pequeno I;;
SPEspírito Santo do Pinhal;351518;3515186;SP;Espírito Santo do Pinhal;Região Sudeste;41907;Pequeno II;;
SPEspírito Santo do Turvo;351519;3515194;SP;Espírito Santo do Turvo;Região Sudeste;4244;Pequeno I;;
SPEstrela D'oeste;351520;3515202;SP;Estrela D´oeste;Região Sudeste;8208;Pequeno I;;
SPEstrela do Norte;351530;3515301;SP;Estrela do Norte;Região Sudeste;2658;Pequeno I;;
SPEuclides da Cunha Paulista;351535;3515350;SP;Euclides da Cunha Paulista;Região Sudeste;9585;Pequeno I;;
SPFartura;351540;3515400;SP;Fartura;Região Sudeste;15320;Pequeno I;;
SPFernandópolis;351550;3515509;SP;Fernandópolis;Região Sudeste;64696;Médio;;
SPFernando Prestes;351560;3515608;SP;Fernando Prestes;Região Sudeste;5534;Pequeno I;;
SPFernão;351565;3515657;SP;Fernão;Região Sudeste;1563;Pequeno I;;
SPFerraz de Vasconcelos;351570;3515707;SP;Ferraz de Vasconcelos;Região Sudeste;168306;Grande;;
SPFlora Rica;351580;3515806;SP;Flora Rica;Região Sudeste;1752;Pequeno I;;
SPFloreal;351590;3515905;SP;Floreal;Região Sudeste;3003;Pequeno I;;
